window,strategy,n_matches,exact_score_log_loss,exact_score_accuracy,outcome_accuracy,goal_mae,goal_rmse,total_goal_mae,average_selected_score_probability
2014_fifa_world_cup,score_only,64,3.000788177248684,0.03125,0.34375,0.96875,1.4086784586980805,1.65625,0.13227155486137265
2014_fifa_world_cup,1x2_compatible,64,14.793048565377209,0.15625,0.609375,0.96875,1.4197270864500684,1.6875,0.12499921641108516
2018_fifa_world_cup,score_only,64,2.8200172113605038,0.078125,0.421875,0.9609375,1.3020416659999787,1.609375,0.14651157679675095
2018_fifa_world_cup,1x2_compatible,64,15.765632687415748,0.140625,0.578125,0.96875,1.340475661845451,1.65625,0.13777949241119283
2022_fifa_world_cup,score_only,64,3.1001795643583243,0.03125,0.375,1.078125,1.5309310892394863,1.875,0.15043307095463268
2022_fifa_world_cup,1x2_compatible,64,18.031765869012084,0.03125,0.515625,1.0859375,1.5181197251863898,1.890625,0.13426479030353453
all_windows,score_only,192,2.9736616509891705,0.046875,0.3802083333333333,1.0026041666666667,1.4169730060943293,1.7135416666666667,0.14307206753758542
all_windows,1x2_compatible,192,16.196815707268346,0.109375,0.5677083333333334,1.0078125,1.4279574573494829,1.7447916666666667,0.1323478330419375
