match_number,date,time_local,group,home_team,away_team,predicted_score,predicted_score_outcome,predicted_score_probability,top_scorelines,ensemble_home_win,ensemble_draw,ensemble_away_win,form_poisson_home_expected_goals,form_poisson_away_expected_goals,most_likely_outcome,most_likely_probability
27,2026-06-18,3:00 p.m.,B,Canada,Qatar,1-0,home_win,0.1803110448069583,1-0 (0.180); 0-0 (0.130); 2-0 (0.125); 1-1 (0.118); 0-1 (0.085),0.6821554270270832,0.2285340217199557,0.089310551252961,1.3897893676878004,0.6524349901647613,home_win,0.6821554270270832
28,2026-06-18,7:00 p.m.,A,Mexico,South Korea,1-0,home_win,0.1345999757517935,1-0 (0.135); 1-1 (0.134); 0-0 (0.120); 0-1 (0.120); 2-0 (0.075),0.4932153713800628,0.2315601059505981,0.275224522669339,1.1217721214880154,0.9985856483679448,home_win,0.4932153713800628
29,2026-06-19,8:30 p.m.,C,Brazil,Haiti,1-1,draw,0.1097673427892766,1-1 (0.110); 2-1 (0.089); 1-2 (0.078); 1-0 (0.077); 0-1 (0.068),0.6790310483617926,0.2229409121898056,0.0980280394484018,1.621008575128038,1.4270267886683172,home_win,0.6790310483617926
30,2026-06-19,6:00 p.m.,C,Scotland,Morocco,0-1,away_win,0.1736699196987725,0-1 (0.174); 0-2 (0.155); 0-0 (0.097); 1-1 (0.094); 0-3 (0.092),0.2094681946325075,0.2195842312434896,0.5709475741240029,0.5439478799243778,1.7874360699709693,away_win,0.5709475741240029
31,2026-06-19,8:00 p.m.,D,Turkey,Paraguay,1-1,draw,0.1149171172697353,1-1 (0.115); 1-0 (0.108); 2-1 (0.097); 2-0 (0.091); 0-1 (0.068),0.499120887318891,0.2232943043888514,0.2775848082922575,1.6813669120039474,1.060962408785648,home_win,0.499120887318891
32,2026-06-19,12:00 p.m.,D,United States,Australia,1-1,draw,0.1176134340236474,1-1 (0.118); 0-1 (0.104); 1-2 (0.095); 0-2 (0.084); 1-0 (0.073),0.3570765900295475,0.2241743735986431,0.4187490363718094,1.126487608427802,1.6078972880228186,away_win,0.4187490363718094
33,2026-06-20,4:00 p.m.,E,Germany,Ivory Coast,1-1,draw,0.1243067668017061,1-1 (0.124); 0-1 (0.097); 1-0 (0.091); 1-2 (0.085); 2-1 (0.079),0.5375293746637864,0.2262219589311285,0.2362486664050851,1.2754769296893038,1.3612492774136549,home_win,0.5375293746637864
34,2026-06-20,7:00 p.m.,E,Ecuador,Curaçao,1-0,home_win,0.1474049628554316,1-0 (0.147); 1-1 (0.128); 0-0 (0.109); 2-0 (0.099); 0-1 (0.095),0.6910857883083931,0.2289127742162311,0.0800014374753757,1.3465360029285829,0.8655711944257627,home_win,0.6910857883083931
35,2026-06-20,12:00 p.m.,F,Netherlands,Sweden,2-1,home_win,0.0856995913874538,2-1 (0.086); 3-1 (0.075); 1-1 (0.065); 2-2 (0.061); 2-0 (0.060),0.5937903274018934,0.2133329056293743,0.1928767669687322,2.62569188132526,1.4183364172503297,home_win,0.5937903274018934
36,2026-06-20,10:00 p.m.,F,Tunisia,Japan,0-1,away_win,0.1440762468446775,0-1 (0.144); 0-2 (0.130); 1-1 (0.104); 1-2 (0.094); 0-0 (0.080),0.1018489625275584,0.2204316318562859,0.6777194056161557,0.7215266518885737,1.8082472334853832,away_win,0.6777194056161557
